id, name, release date, type, group, [contributing artist ids]
1t5gMx9BLiOTe2kJ6EPjPK,Sri Ramachandranu (From "Bramhachari"),2019-11-29,Album,Single,[72578usTM6Cj5qWsi471Nc,6miwTHZ03xmcPUtShuAGgS]
5mr5kvBnHEviqnxbbtpJjj,Gandu Mettidnaadu (From "Gadinaadu"),2019-11-14,Album,Single,[72578usTM6Cj5qWsi471Nc,7uMA1CNJvW3olMLTKXlUxS]
0YDOHUhaloO0oRvK8wQWl8,Ghamm Ghamm Ganapa,2019-09-05,Album,Single,[72578usTM6Cj5qWsi471Nc]
0Yedy5zisU9sFBmMlGvSvf,Ghamm Ghamm Ganapa - Single,2019-09-05,Album,Single,[72578usTM6Cj5qWsi471Nc]
094BDE7wyTs7hLiQ335tMw,Gari Bichchi Mari Hakki (From "Yaanaa"),2019-02-02,Album,Single,[72578usTM6Cj5qWsi471Nc]
0EJIbXz6AAUwqw9BX1xHFx,Koode,2018-06-15,Album,Single,[72578usTM6Cj5qWsi471Nc]
3KTNa2BGdYY9xXPpnRYvqB,Koode,2018-06-15,Album,Single,[72578usTM6Cj5qWsi471Nc]
5lpDBx4jyw9xs3rcojX7LC,Urime Manase (From "Krishnarjuna Yudham"),2018-03-15,Album,Single,[72578usTM6Cj5qWsi471Nc,7zFBW2JxM4bgTTKxCRcS8Q]
6M0hAc10Vta094iXyWtpUA,Chef,2017-09-26,Album,Single,[72578usTM6Cj5qWsi471Nc,76fuWYgIf3TVIopTs3vaJ6]
0qawQbPkGpRBCwgHPCXxcs,Banjara (From "Chef"),2017-09-18,Album,Single,[6CXEwIaXYfVJ84biCxqc9k,72578usTM6Cj5qWsi471Nc]
47EistIRDbzDXnHEJTfoR7,Shugal Laga Le (From "Chef"),2017-09-06,Album,Single,[72578usTM6Cj5qWsi471Nc]
1eAL3qFaulbHcBjdjeNmoK,Soruthihudu Maneya (From "Beautiful Manasugalu"),2017-02-22,Album,Single,[72578usTM6Cj5qWsi471Nc]
1kzgwHT5RD3mKulXMjPfUR,Geeya Geeya,2017,Album,Single,[5YoD56NLtyPyTKeaSiG5rB,72578usTM6Cj5qWsi471Nc,4JFVZaGeqeKsZTec9xdUwc]
6FeDHtvgu66JgLhx0rdmse,Happy New Year (Original Motion Picture Soundtrack),2016-12-30,Album,Single,[72578usTM6Cj5qWsi471Nc]
3DHLaF0fwJ1PR4Tkk6NXVw,Vallavanukkum Vallavan (Original Motion Picture Soundtrack),2016-11-25,Album,Single,[72578usTM6Cj5qWsi471Nc]
5dmt0Rc3fOXP10CPme7RrJ,Jai Hanuman (From "Dieyana House"),2016,Album,Single,[72578usTM6Cj5qWsi471Nc]
7BPCvgBrR75ujsnVZuU1vc,Daiyya Ri (The Dewarists, Season 4),2015-01-01,Album,Single,[72578usTM6Cj5qWsi471Nc,0PSChrfgkjas0HCm3Fnmpr]
